2018-01-30 09:26:10.643 [main] INFO  o.s.c.s.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4883b407: startup date [Tue Jan 30 09:26:10 CST 2018]; root of context hierarchy
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.max_timeout = 300000
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.trust_client_tm = false
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.tm_unique_name = 192.168.10.128.tm
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: java.naming.factory.initial = com.sun.jndi.rmi.registry.RegistryContextFactory
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.forget_orphaned_log_entries_delay = 86400000
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.oltp_retry_interval = 10000
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: java.naming.provider.url = rmi://localhost:1099
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.force_shutdown_on_vm_exit = false
2018-01-30 09:26:12.550 [main] INFO  c.a.icatch.provider.imp.AssemblerImp - USING: com.atomikos.icatch.default_jta_timeout = 10000
2018-01-30 09:26:12.580 [main] INFO  c.a.d.xa.XATransactionalResource - houtai: refreshed XAResource
2018-01-30 09:26:12.585 [main] INFO  c.a.d.xa.XATransactionalResource - activity: refreshed XAResource
2018-01-30 09:26:12.603 [main] INFO  o.s.t.jta.JtaTransactionManager - Using JTA UserTransaction: com.atomikos.icatch.jta.UserTransactionImp@457c9034
2018-01-30 09:26:12.603 [main] INFO  o.s.t.jta.JtaTransactionManager - Using JTA TransactionManager: com.atomikos.icatch.jta.UserTransactionManager@345f69f3
2018-01-30 09:26:13.285 [main] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from class path resource [sqlserver-jdbc-connection.properties]
2018-01-30 09:26:13.685 [main] INFO  com.gtshgame.App - /api/FirstCharge/FirstCharge
2018-01-30 09:26:13.685 [main] INFO  com.gtshgame.App - /api/json/FirstCharge/FirstCharge
2018-01-30 09:26:13.687 [main] INFO  com.gtshgame.App - /api/VipChargeInfo/VipChargeInfo
2018-01-30 09:26:13.687 [main] INFO  com.gtshgame.App - /api/json/VipChargeInfo/VipChargeInfo
2018-01-30 09:26:25.282 [vert.x-worker-thread-0] INFO  com.gtshgame.App - {'userId':1,'objbitTmp':0}
2018-01-30 09:26:25.422 [vert.x-worker-thread-0] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'houtai': init...
2018-01-30 09:26:25.541 [vert.x-worker-thread-0] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'activity': init...
2018-01-30 09:26:25.560 [vert.x-worker-thread-0] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2018-01-30 09:26:25.589 [vert.x-worker-thread-0] INFO  o.s.j.support.SQLErrorCodesFactory - SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2018-01-30 09:26:55.100 [vert.x-worker-thread-1] INFO  com.gtshgame.App - {'userId':1,'objbitTmp':0}
2018-01-30 09:26:55.104 [vert.x-worker-thread-1] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'houtai': init...
2018-01-30 09:26:55.109 [vert.x-worker-thread-1] INFO  c.a.jdbc.AbstractDataSourceBean - AtomikosDataSoureBean 'activity': init...
